ts,record_id,user_authority,user,partial,base_asset_value,base_asset_value_closed,liquidation_fee,fee_to_liquidator,fee_to_insurance_fund,liquidator,total_collateral,collateral,unrealized_pnl,margin_ratio
2022-04-26 12:03:48-04:00,16161,FhCW2CghBaoo1MkXUXUb4okam8g5beQofgs3WXerNYzn,HWSPdmF3hSnnfVe29Y5rDGSPqbMQv2ug1wYrdwJZNWFK,True,204137777,51034444,151650,75825,75825,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,6066009,16328063,-10262054,297
2022-04-26 12:03:48-04:00,16162,SEndYVMCKAeZUKSqGrMUSqXFmxtA9M1t4eXsUhVsTBF,3fcQQcbkpqodakamn82pFnMxBEPL2Drsg4jJNZ6dx72M,True,1357801575,198075375,1296080,648040,648040,2xTUy2RS74GJMMDnmFaegMzFLn19RVfYG4CibhBmjP1i,88845984,56133031,32712953,654
2022-04-26 12:03:51-04:00,16163,FtF3PVw8YNJseWPMcA2GEuQZ6nni1mq5kYPa2LrSzfkW,4yr1TM2dXrBvLNMpSaoryuGU2P8D3WG1ZCkvVzWFiQRH,True,331420383,76230640,456515,228257,228258,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,19847483,180106162,-160258679,598
2022-04-26 12:03:58-04:00,16164,3662SX3YSARYupcxpgtTvUAPUsU7aJKsGxvpkNC1AV1A,HkAb86jdGHbz6VxrtbA81jPvjhiNHhbe82NBPFxnwzE5,False,13648579,13648579,851927,42596,809331,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,851927,3805924,-2953997,624
2022-04-26 12:04:23-04:00,16165,7ueXVhSvXvttkeQ18w2cLh65naoEPvYF86RrdUK2Vc5Q,CKTehY1W6bw85cS4o7g2qXKjP4656Vwo37244BAEAiw1,True,361032559,90254961,563867,281933,281934,DQCvC9mR68hJ3tJsUiddh6JwcBJAmntqGJR2nUsEq7yj,22555495,125336738,-102781243,624
2022-04-26 12:31:53-04:00,16166,7GpG8k6hM27vK1R5Sx1v5xUBuF6vybP41dcymjXDi5P7,7Aip6HDcbZ5mvoSucNupRS9enRdGx37F8L432K7V81do,True,50264012641,12566003160,78079749,39039874,39039875,A2p75MbAbeUdHkPLkAjgGeiwuu9WPrkMHzjCkDXF1Xr3,3123189977,6590925362,-3467735385,621
2022-04-26 12:35:09-04:00,16167,AQr9mVmcXCNQhBVCfx63MwR6c4WqDSC9K2BZqr7N8LCx,CB7TWUaL381ounsLw6neAUaKRxJL9P1HC9uGX5e1Uxod,True,444237178,22702984,127758,63879,63879,GXyFXZMNk2NFyEzw6JetVqsujqcz2yCixH7n8EpDJYWD,24998942,117429654,-92430712,562
2022-04-26 12:37:29-04:00,16168,DaHTFbsmuU4J1Erji8ZfqB1L2wSuY7DCxAuHoopwMHog,7tmPzHaeVyGdvMXWEuJzYRoSQfw4dH4Njyf6Rh3F7U9Z,True,273540668,68385167,424242,212121,212121,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,16969687,34283272,-17313585,620
2022-04-26 12:38:30-04:00,16169,12GjTFcAZ5rnnR9DwXDUMmjFoyuFa3txDF4PPA4YoAQq,Ebm7YVYTYyMtEBM4STgbyyLuSFTwnnuFDQ1Wysvtj2vR,True,278707617,69676904,435473,217736,217737,GXyFXZMNk2NFyEzw6JetVqsujqcz2yCixH7n8EpDJYWD,17418921,39730241,-22311320,624
2022-04-26 13:13:05-04:00,16170,AQr9mVmcXCNQhBVCfx63MwR6c4WqDSC9K2BZqr7N8LCx,CB7TWUaL381ounsLw6neAUaKRxJL9P1HC9uGX5e1Uxod,True,420757687,22343194,125300,62650,62650,A2p75MbAbeUdHkPLkAjgGeiwuu9WPrkMHzjCkDXF1Xr3,23596011,107753503,-84157492,560
2022-04-26 13:14:29-04:00,16171,Br1j5Ftafei7ysu5SmqVZSoRe4uS4qCPeKSPHg55pyiE,G8fc7QvXjfkgBFvAVUgJFQS3VaF1biL9rktBExGa87Ks,True,24326048,6081512,37620,18810,18810,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,1504820,7213914,-5709094,618
2022-04-26 13:14:37-04:00,16172,J6ndjmic8buVqwa4URRRgv2iTc4ekbYUHdcpa3DUCufN,7qvvczUw8ngwdQae49BiQwQmdV2SSWsAVV2tmZYL7gw6,True,2877922400,719480600,4492685,2246342,2246343,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,179707424,832643547,-652936123,624
2022-04-26 13:14:37-04:00,16173,B1zAiuxNrv8RTc7dDBoAihXEsu59R7KNywkRkw27J53x,5SVx4t6TzhXz7v9aMHKwbyYZxjBhskW8tkDVm1qquhuC,True,8081712330,2020428082,12588041,6294020,6294021,GXyFXZMNk2NFyEzw6JetVqsujqcz2yCixH7n8EpDJYWD,503521676,2422410446,-1918888770,623
2022-04-26 13:15:33-04:00,16174,8gxJEB4eSp5R8Z4Vy8TChcbLWPG93cVhpGLYWPuo4UMz,5dykor5kUojjBccSkbKqsHJ61voZWnD2MDuSNvsF6ohA,True,42551739,10637934,65907,32953,32954,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,2636291,17413678,-14777387,619
2022-04-26 13:15:46-04:00,16175,F3Hq5hKQ7mh2PiaMDtqTd1xPrGCUszajivFu1pBqvsbk,6pjiEFs1jM2SvY5MCHpESPKg8EmUSPUSvEr19Z1WFy3X,True,86661713,21665428,65405,32702,32703,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,2616213,6356004,-3739791,301
2022-04-26 13:16:17-04:00,16176,HxEjbaeXyjRYmxhkvPER7iuevx9R3AH9rdAtAu9r4zxL,HUXTVWjDHoKRNDEt4qXC9c7BpDtjB2tSNW7bXhHXsMk9,True,32672969,8167962,51003,25501,25502,A2p75MbAbeUdHkPLkAjgGeiwuu9WPrkMHzjCkDXF1Xr3,2040230,7568202,-5527972,624
2022-04-26 13:16:27-04:00,16177,6NJFN855M3Q3RLTDNo57gTgAmwPD6G2E3WvMb1m5eNCN,3YpqNnonsvXaRT4nCC3G5FZx1jjVtbDPc36LiR6WK5jR,True,386278273,96569568,599802,299901,299901,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,23992111,87528451,-63536340,621
2022-04-26 13:16:33-04:00,16178,AoXamAP5a8TQVU1iASScAtAE6Dh2U6VwXTS2q7ksNfVp,FqffL8e7uWNqnu6ueuYQyKpoFhNxPjoKsR2gBkEgJcAM,False,14381639,14381639,889082,44454,844628,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,889082,5286550,-4397468,618
2022-04-26 13:16:53-04:00,16179,5wcyw2KsaCSSXaDocVzV8Yz9yHNG1E8TajEoeoBqiENL,2vuppCGeADLpY3sGJVLbmM5aRW3r5aHDgCBLS7QZoCg5,True,125570447,31392611,192738,96369,96369,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,7709539,25145299,-17435760,613
2022-04-26 13:17:24-04:00,16180,9VojCEgzn99QRVPGKn6euGRQbM7Q86GZ6yHJQa7N3gv4,GW4GVNnUtEt68avsowddpmjoUTUyMvxV4c5kY3Gzz9fT,True,375143539,36001478,224127,112063,112064,2xTUy2RS74GJMMDnmFaegMzFLn19RVfYG4CibhBmjP1i,23354643,178211364,-154856721,622
2022-04-26 13:17:30-04:00,16181,BWta2HTjCwDidjsgv1vPoD3gCHSGf679N1xijEj5jzD3,JEFa5ojXJ95W2NsV5j8qBENTm5n1uGfPDFwLRvebHDVn,True,1588172798,397043199,2467591,1233795,1233796,2xTUy2RS74GJMMDnmFaegMzFLn19RVfYG4CibhBmjP1i,98703659,328729207,-230025548,621
2022-04-26 13:17:30-04:00,16182,7X1UBUXhC59kzJKyroP6fe5GVtGCrVMZGKwbSnedkvwJ,5A24drY1wqNsjV6cABFfFx2D5BQ16m6vozbxvyUcXG4C,True,40509787,10127446,62820,31410,31410,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,2512803,13024029,-10511226,620
2022-04-26 13:18:24-04:00,16183,D8hA6qzDLFSTbkwvEdBsFZz5ykzuLP96FPhYh4uSh2PW,Bdj1hZnx27FrEw6wMKDheBFWFFDaKUdiq8Sv6WhL5gc5,True,44801604,11200401,69933,34966,34967,gjBMZYVujDjD1ECG4i97M8Q3gV9ESnwwTSUGropkusj,2797328,14240489,-11443161,624
2022-04-26 13:19:35-04:00,16184,EUHZeJkyUdeEzZP2hThoMTpfUJoZwoPqUus3hrnDkHUQ,7pbzABMyUg2d5LyUdo9rYM8MdrgcMt2MQ7EejmfG6kbN,True,82956873,20739218,129580,64790,64790,GXyFXZMNk2NFyEzw6JetVqsujqcz2yCixH7n8EpDJYWD,5183211,34856312,-29673101,624
2022-04-26 13:21:49-04:00,16185,DufAyX9ifvrS5bqJip1mqtKSGnfFTt5CqxktLMNsuqb8,EiXfkhfnq6HzpYkTWSjNGCETn77gzxgveAr9DJ8TKprZ,True,61856450,15464112,95023,47511,47512,A9TwRM1BMxqb8DCC7YNAMV6zPenEJm3HTZBy7wJKK58U,3800923,26367056,-22566133,614
2022-04-26 13:21:50-04:00,16186,5r3YEyxbXrMEwYCFyZXS5t1eRLDahPFxPBBYNyMfHfcZ,7fnHdwm7JWHREPPk7dMud4vEoYZqsiRYCMo6ZSQqMwQc,True,28766504,3733805,23130,11565,11565,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,1782058,15486941,-13704883,619
2022-04-26 13:21:54-04:00,16187,bYUscp4qgQap7iDu5R8tyBz73dov4j3zDV2FgDUvSDx,E4d8ank6Ymezu4ubD2tU5B5fXuoh2E1RQkrdaLgMfuaT,True,28780329,7195082,44189,22094,22095,2py1FiYeL2f7J3HU36qiJz6TD6HCmiTN36RyxYtapQCZ,1767561,13909849,-12142288,614
2022-04-26 13:22:02-04:00,16188,8J4BZXZzkK4SmWxc2YoaJRg9ivuuXbdVe5XpEhVds1ZM,3pirVwiye9NftvMpX5F7WpfcGZy5uV3c11xCdkkZbL9D,True,6710603462,1677647773,5078632,2539316,2539316,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,203145713,334607002,-131461289,302
2022-04-26 13:24:01-04:00,16189,impmg97osZac6q2B4SjAewuVYdMu4kPAg9totcz9h9Y,7ytd7QqMrXK3bVLPsgWSQSTgyAZnmPsPoD42k4Frkbz,True,80130903,8111009,35146,17573,17573,DQCvC9mR68hJ3tJsUiddh6JwcBJAmntqGJR2nUsEq7yj,3472251,6676866,-3204615,433
