ts,record_id,market_index,funding_rate,cumulative_funding_rate_long,cumulative_funding_rate_short,oracle_price_twap,mark_price_twap
2022-03-02 15:00:09-05:00,19538,0,52758306250,1474580607602929,403150897706703,1011658364475,1011784984410
2022-03-02 15:00:12-05:00,19539,8,-1166580833,157556462684019,77109347083424,185490963082,185488163288
2022-03-02 15:00:51-05:00,19540,12,-211779202083,43959320762939,29570901353504,1101877220761,1101368950676
2022-03-02 15:00:52-05:00,19541,10,3897517916,1077619008719,1077619008719,8188270408,8197624451
2022-03-02 15:01:49-05:00,19542,4,320637269166,202651331637487,36043900975730,833704693924,834474223370
2022-03-02 15:01:49-05:00,19543,2,10917116837500,48265269298623214,37708535107362383,29392471658811,29418672739221
2022-03-02 15:02:05-05:00,19544,1,59366577138333,1001124323037842322,449467361856912545,437596740606381,437739220391513
2022-03-02 15:03:52-05:00,19545,5,1619685200833,2906142481896903,1276593129443105,4077926248095,4081813492577
2022-03-02 15:05:13-05:00,19546,9,6759381666,672118599952,672118599952,9369170370,9385392886
2022-03-02 15:07:39-05:00,19547,11,154812817500,40362505196234,40362505196234,461182963183,461554513945
2022-03-02 16:00:00-05:00,19548,0,56947035833,1474637554638762,403207844742536,1008958690717,1009095363603
2022-03-02 16:00:06-05:00,19549,3,-176132147083,-103008259465062,-162005478256640,899580418474,899157701321
2022-03-02 16:00:30-05:00,19550,10,3990510416,1081609519135,1081609519135,8187877809,8197455034
2022-03-02 16:00:31-05:00,19551,7,-132609195833,243213330368088,240763185803613,318894085184,318575823114
2022-03-02 16:00:33-05:00,19552,4,228260668750,202879592306237,36272161644480,832135099635,832682925240
2022-03-02 16:02:03-05:00,19553,12,-223967956666,43735352806273,29346933396838,1102699345708,1102161822612
2022-03-02 16:03:22-05:00,19554,8,12404166,157556475088185,77109359487590,185493578861,185493608631
2022-03-02 16:04:52-05:00,19555,5,1905181995000,2908047663891903,1278498311438105,4079811438609,4084383875397
2022-03-02 16:05:50-05:00,19556,6,5370046250,11722264256034,9507058011272,16388787679,16401675790
2022-03-02 16:06:25-05:00,19557,9,4902552916,677021152868,677021152868,9360580362,9372346489
2022-03-02 16:08:49-05:00,19558,1,110398915070416,1001234721952912738,449577760771982961,437816838133028,438081795529197
