ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-05-09 19:10:55-04:00,198462,FQw8uosZmPqS8D3C4BzU19KND3maGzcEiGiY9xc8gpD9,8KrjPtoXkiKK3E2g4aDdTi9bpD63xXaoabJFjWcAb2YL,DepositDirection.WITHDRAW(),4199181484,4079938551,130259844
2022-05-09 19:10:56-04:00,198463,BTzEgTKPHNQAVxPoN7uML9x1HzDr6ttVQFKN3WJufSuP,2d9n3QYcDeuUJWzYZUkF3f8eN9tXXp2xag6ghBgJ8z4r,DepositDirection.WITHDRAW(),2274992562,1670428927,333082464
2022-05-09 19:10:59-04:00,198464,33GpGnUHRcgqD58aJDpfPqKfQ3ZyunNRwAXBM8TkPeg3,3sYkUFVR9RSSQr712TtPcmc9WJXngSFcvmvzg8dNvo2j,DepositDirection.WITHDRAW(),4280022943,3843116161,285932106
2022-05-09 19:10:59-04:00,198465,55NGGfnhAmbY7AFdTvXATg3aNkps5fpah9cLcdzLdqnB,7RGPAtfth5QwcacB9c5FRxanGpNJXnuzB9CmafoVMMRE,DepositDirection.WITHDRAW(),266162755,140668264,22168687
2022-05-09 19:11:00-04:00,198466,4ZYoYDQLtkVHbrbSu6JB2mbNnRvq8Z2kHJ64V3DXTCvG,3v858D44FGg93k1WSrVCGnbPguCAmeVkBu8TXJPwYF1W,DepositDirection.WITHDRAW(),251641143,359853719,15951115
2022-05-09 19:11:42-04:00,198467,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),6461285952,-32417000000,200000000
2022-05-09 19:11:43-04:00,198468,GNULF4HKRSqzv9sZj2zG6Xkw25h4DbC4vCs2Hh5WJJwu,8antvTAai63JDSzTDxSrQvBD4t29ojJ4V6SxwbsgTcSy,DepositDirection.WITHDRAW(),11781239841,11800000000,200000000
2022-05-09 19:11:46-04:00,198469,71sD5ahhx5sQgfZ4vnEEY22kRHND271hf4kF3Nhn37DW,JBDYoSg2vY4pNe94iUn4Gd9ZENR3r1V7N8Gh76CZrZ2c,DepositDirection.WITHDRAW(),3389049501,-3033000000,390000000
2022-05-09 19:11:53-04:00,198470,3Bv4BCvZLR2WScnqXxDq4oBBUjMsDGJVCy2XPjYj3b1t,6xHpVkgRvPE69Dm8aaJuB8mVxSbr8fNAJ4bMU51tRZAT,DepositDirection.WITHDRAW(),63265807,26330112,2902718
2022-05-09 19:11:57-04:00,198471,84bEdUjjA8U1p4UhT82uZXd2VZ14AozTjfa4t8CbM7Fm,7Y9Kspw8zbLxTZAknDtkyLrHDTkH2fSoeDWfczNK6xR8,DepositDirection.WITHDRAW(),38429486,35245451,1047662
2022-05-09 19:12:05-04:00,198472,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),6272404188,-32617000000,200000000
2022-05-09 19:12:08-04:00,198473,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,DepositDirection.WITHDRAW(),7199236765,-44502110000,311000000
2022-05-09 19:12:17-04:00,198474,4R7Xksx6x22TE4VDJWF9DjA45ipGX9hrGmcbG5gk9zoM,AcakjzFpLjPkhLd8N5tUtmwy1EA3tTHC2qeF9MWYZ3NB,DepositDirection.DEPOSIT(),3956446762,2523000000,54000000
2022-05-09 19:12:54-04:00,198475,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),6072404188,-32817000000,200000000
2022-05-09 19:13:03-04:00,198476,GNULF4HKRSqzv9sZj2zG6Xkw25h4DbC4vCs2Hh5WJJwu,8antvTAai63JDSzTDxSrQvBD4t29ojJ4V6SxwbsgTcSy,DepositDirection.WITHDRAW(),11581239841,11600000000,200000000
2022-05-09 19:13:09-04:00,198477,71sD5ahhx5sQgfZ4vnEEY22kRHND271hf4kF3Nhn37DW,JBDYoSg2vY4pNe94iUn4Gd9ZENR3r1V7N8Gh76CZrZ2c,DepositDirection.WITHDRAW(),2999049501,-3423000000,389000000
2022-05-09 19:13:15-04:00,198478,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),5872404188,-33017000000,200000000
2022-05-09 19:13:17-04:00,198479,9BFwkimhPpK7SmgonG7TCv71zn4sUrYhnkz2LuQF8b5C,2afyiQDAWJo73BALFyiP4jtaQYc7trWhVqHB1V8EgJuW,DepositDirection.WITHDRAW(),683047309,-5286600000,60000000
2022-05-09 19:13:18-04:00,198480,GNULF4HKRSqzv9sZj2zG6Xkw25h4DbC4vCs2Hh5WJJwu,8antvTAai63JDSzTDxSrQvBD4t29ojJ4V6SxwbsgTcSy,DepositDirection.WITHDRAW(),11381239841,11400000000,200000000
2022-05-09 19:13:29-04:00,198481,botj2WzZJTJAWpt4BSCfFxzGfXnxKVFSS373vCgJi21,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,DepositDirection.WITHDRAW(),16409096,-9790880000,11000000
2022-05-09 19:13:35-04:00,198482,9BFwkimhPpK7SmgonG7TCv71zn4sUrYhnkz2LuQF8b5C,2afyiQDAWJo73BALFyiP4jtaQYc7trWhVqHB1V8EgJuW,DepositDirection.WITHDRAW(),632461622,-5346600000,83000000
2022-05-09 19:14:18-04:00,198483,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,DepositDirection.WITHDRAW(),6925082292,-44813110000,576000000
2022-05-09 19:14:23-04:00,198484,51sWUoJVikAwJQW1aR3X5uQowdWaJnxyzBSxrBgZCyVa,HV8hjzV4tjfN4ejFpzwJAPbgbYdqcuf1tamhkKhauHUT,DepositDirection.WITHDRAW(),28858884747,113227778138,4102656556
2022-05-09 19:14:28-04:00,198485,Fhw4LM9qCtr5t4XUqrn4aiLK7nRw4xk1czjXvQwQtxaY,CdfWwes7tpsfdJJmmYeKTvYmoS7vs3sqdm1Pra2rExAi,DepositDirection.DEPOSIT(),1202892387,2338384128,3457381
2022-05-09 19:14:33-04:00,198486,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),5672404188,-33217000000,200000000
2022-05-09 19:14:56-04:00,198487,9rLww2cvR5BtMXqjau3CEx2pv496Wv839oWZ7SoeS9ZF,3nmcwUMPdUHtD3Q6sCVSjAiTXqcDfpncdhEy7wSbkGxi,DepositDirection.WITHDRAW(),276502816,-807009617,67341895
2022-05-09 19:15:02-04:00,198488,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),5472404188,-33417000000,200000000
2022-05-09 19:15:47-04:00,198489,AMzKNWptbAWy2JRaNTYW8rrAircKcdsi2r2QJZfei9Cv,2kSmBprCAD4WpiFs4ngNszX5PyHFREjqLH7vVzgUjNm4,DepositDirection.WITHDRAW(),40769634804,3000000000,22000000000
2022-05-09 19:16:12-04:00,198490,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,DepositDirection.WITHDRAW(),6349082292,-45389110000,385000000
2022-05-09 19:16:12-04:00,198491,9BFwkimhPpK7SmgonG7TCv71zn4sUrYhnkz2LuQF8b5C,2afyiQDAWJo73BALFyiP4jtaQYc7trWhVqHB1V8EgJuW,DepositDirection.WITHDRAW(),664524987,-5429600000,65000000
2022-05-09 19:16:13-04:00,198492,9xU7i4H3pY8LZkwspeLVNaQuL8PsAvyjpex1fnr28KxH,Gbfrhr9gQoQABqNFuQ2zH35raucEqjm8WgNWkhGmqB9Z,DepositDirection.DEPOSIT(),7834,-58158450000,100000000000
2022-05-09 19:16:17-04:00,198493,9BFwkimhPpK7SmgonG7TCv71zn4sUrYhnkz2LuQF8b5C,2afyiQDAWJo73BALFyiP4jtaQYc7trWhVqHB1V8EgJuW,DepositDirection.WITHDRAW(),610068511,-5494600000,65000000
2022-05-09 19:16:20-04:00,198494,2Ce1w7r9HgoQvY8a2x7wKkgCiLSQxJ2u5tvB7gU2iKji,CXqJUCCGdLR1jYagSow3BkBC38n7LmDsFrHfCjT56uMx,DepositDirection.WITHDRAW(),222689267826,355045630000,40000000000
2022-05-09 19:16:53-04:00,198495,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,DepositDirection.DEPOSIT(),5964082292,-45774110000,385000000
2022-05-09 19:17:17-04:00,198496,51V48WEtz4Dybf4Y5uWwRB8GcH7CDAPqq27x57zUmYN5,4pyAHT6WUast84nkdTW3uuPLqZ7c3g4WRa6ueP2DrEpT,DepositDirection.DEPOSIT(),10031813226,-52562950000,8865000000
2022-05-09 19:17:17-04:00,198497,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),5272404188,-33617000000,200000000
2022-05-09 19:17:19-04:00,198498,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),5072404188,-33817000000,200000000
2022-05-09 19:17:24-04:00,198499,HCDFVikyKGu5sBCobAo2gKX6syJbtsQ7QBuxvs4QX6ni,FbpP4HVgkjjzogfJn8NNSk7yAeVYgafNf12kqVKkmJrw,DepositDirection.WITHDRAW(),165753357,121280000,165750000
2022-05-09 19:17:31-04:00,198500,GNULF4HKRSqzv9sZj2zG6Xkw25h4DbC4vCs2Hh5WJJwu,8antvTAai63JDSzTDxSrQvBD4t29ojJ4V6SxwbsgTcSy,DepositDirection.WITHDRAW(),11181239841,11200000000,200000000
2022-05-09 19:18:24-04:00,198501,51sWUoJVikAwJQW1aR3X5uQowdWaJnxyzBSxrBgZCyVa,HV8hjzV4tjfN4ejFpzwJAPbgbYdqcuf1tamhkKhauHUT,DepositDirection.WITHDRAW(),24753838889,109125121582,3568429170
2022-05-09 19:18:33-04:00,198502,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),4872404188,-34017000000,200000000
2022-05-09 19:18:41-04:00,198503,7YW8GhJS3TwYBq714bykZTkvvkVh9hL8CDgTSRodFyUh,4xN4oFMn5qjyZYCvwiE1xyWri7brS1ACUSZ1BsS2zQ3w,DepositDirection.WITHDRAW(),2060613177,-91000000,53000000
2022-05-09 19:19:26-04:00,198504,Amg8yBBXdVxdEzv8grBcjJ9vwWxtJBB6GB9XsWQP7YLU,HyzWVkqWG5E17ZeL9A2yEeA8ovaXkaRbtTB5Q7h7LukS,DepositDirection.WITHDRAW(),225685359,144747690,60616982
