ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-05-07 11:46:48-04:00,704552,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,1,84397812770552,-59609997362488,534892057395737342,1651932636,1086690601895749202,535033640714819425
2022-05-07 11:46:48-04:00,704553,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,16,116874892590950,-393769090759283028,18371732144504,1651932128,18401413217837,18401413217837
2022-05-07 11:46:53-04:00,704554,9aypMqcG5QBii4bi18Co4wuXMFa1DYdFtogzGk9nmHLj,6NEkcDqLU65F6oNWzb2RqT7JkWfenMmec6rzSx9nnmX6,10,-680735377,100007339874170,4157731078834,1651928401,4158411764250,4158411764250
2022-05-07 11:47:00-04:00,704555,5egKCqdMhLDSqwH3ajm9xww6611ViEB72hv1DevbYXm7,CT9gEhXFpXHbgXJDUqGjKy6eTLbQjDnBp6cvJsKLJm4p,3,-90996038646382,18956970805524437,-565992762833737,1651896027,-565512749230404,-624509968021982
2022-05-07 11:47:29-04:00,704556,5JWRmN5kfWK6KLvqN8bLU6JfWvJf5QzRbjDaduHAAmMe,C2BDrHDNKCX5KKRXzyRCQzqeSE8t1zVqEWWoWVw2ff2W,13,7338946055353,-330366321943335394,1125756819456,1651928408,1127978276538,1127978276538
2022-05-07 11:47:36-04:00,704557,6AXB5jGrgguqhQ2BeQ3a3VxRhZRtbbPYhSj41zgCjw6u,8BiDSjw1zZhHotjFAbFAB6czgTmhRnxSmiR6Jc5Q2fSx,1,2826003048878,-1996000000000,534892057395737342,1651932636,1086690601895749202,535033640714819425
2022-05-07 11:47:36-04:00,704558,6AXB5jGrgguqhQ2BeQ3a3VxRhZRtbbPYhSj41zgCjw6u,8BiDSjw1zZhHotjFAbFAB6czgTmhRnxSmiR6Jc5Q2fSx,3,3450352336840,1602400000000000,-565297425195404,1651932032,-565512749230404,-624509968021982
2022-05-07 11:47:36-04:00,704559,6AXB5jGrgguqhQ2BeQ3a3VxRhZRtbbPYhSj41zgCjw6u,8BiDSjw1zZhHotjFAbFAB6czgTmhRnxSmiR6Jc5Q2fSx,0,-235456849550,-873700000000000,559761665122289,1651932140,1631164425625182,559734715728956
2022-05-07 11:47:36-04:00,704560,6AXB5jGrgguqhQ2BeQ3a3VxRhZRtbbPYhSj41zgCjw6u,8BiDSjw1zZhHotjFAbFAB6czgTmhRnxSmiR6Jc5Q2fSx,4,-152541020349,-862200000000000,141900820182238,1651932106,308490558774829,141883128113072
2022-05-07 11:47:54-04:00,704561,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,10,18884894437044,-2323635742586039351,4157599033834,1651921204,4158411764250,4158411764250
2022-05-07 11:47:54-04:00,704562,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,11,79840349563591,-41071482801351617,140210652503964,1651923216,140405046141880,140405046141880
2022-05-07 11:47:54-04:00,704563,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,12,132927566717743,-10439834166395068,108932994590128,1651921236,124594686779562,110206267370127
