,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
41,9kG7BrpuFUgF1CkqBfUEJgyVwK338eHMFAJfqvBy63E2,53LQyY375e9D9Lt5KCueA28GwzeBeb53W4V9Qszcd6D,1.0,5.0,519.91,0.997001446213,-3.87017177246212,521.4736668385194
42,9kG7BrpuFUgF1CkqBfUEJgyVwK338eHMFAJfqvBy63E2,53LQyY375e9D9Lt5KCueA28GwzeBeb53W4V9Qszcd6D,2.0,2.0,1043.04,0.2996080383217,212.09227354127304,3481.3485173587032
43,BLgiaNUX2WVpUKFzZ8uCEJ3Wa8idpDbXjkaWwbrHLaPp,38Uz67ctzK2z2KfttYqCZweUGfZdCKoHUtic9chsMJdm,,,,,,
44,7p3TSKBaG9SV2YNDnhutQKacPKpTTmgsEfzmK51t6sYb,FsMiJiJZibohKoV5QRisWCjzuFd86xSxFb4m73AQmu93,0.0,2.0,458.82,0.1209653910226,229.16828222316457,3792.9857136929236
45,DVRsfsgCjM21LnzNKjFH5ZiHsFWRxWkg3jcsZgA3WwaK,4bfSRCQiB2AYsFxiBJTkhPbE61QDPRcwxvvrMssZdZJh,0.0,0.0,51162.79,-355.0339271417164,-1.51647713360707,144.10676301247602
46,ADJvBV4REEKWLUMuioDnu7v2jmsYGunA9iRUmraCqHuV,AukSg3xDooUcLbSQq6YL5SJ4NoaBqNMo34ckFZFxDTww,0.0,0.0,30.0,-0.1251843410879,-5.12021063125175,239.64658630055868
47,AUbmZfBJ6hWTHtszKWyXJw1oRABjUNUv3mPwFjRh23mh,4Lo62FQ3Gb1xhqPDqJQZygxXDWB3kwNkZg5NpoBHQTWZ,0.0,1.0,510.0,-0.0104653226584,967.8044534172764,48732.372297250484
48,AUbmZfBJ6hWTHtszKWyXJw1oRABjUNUv3mPwFjRh23mh,4Lo62FQ3Gb1xhqPDqJQZygxXDWB3kwNkZg5NpoBHQTWZ,1.0,2.0,249.91,0.0614556999048,16.2178519799999,4066.5064491516882
49,DGCDypS2FUSJuo1Xtb4ULFhQfaxFk9LJnQwn4wat4Eg5,DGNAzSUKjov3b9ReAiuBa51iJrk59QbeKXpfALSQQw4n,,,,,,
50,C5qYmVN175eB2DQZtaYr4JHDmmLHdRab6NDXTQSB8oxG,5P9TamXCNrqTPQ6tvNCnFTcWaNhVrj9wv2rLKJk5G9GJ,,,,,,
51,DNNsUCQiFgoZfKDpagbRkzJwwYZzMGM5fJE8vzHppfnd,8KFxrdsqw5AumKHwyXnxE7cNTu5ewErtUUeJ2G7pxhFX,,,,,,
52,Hdp7EES71PyFA2fWKmrF4SuYZzXFie19YHZjw1XMfk4X,6A1aQKo5LrVBY4L3SjDJntRxbC1zUyq4qqTrbCCTbJyM,,,,,,
53,28UR4WKAziiJmPwas5E5JrY3WaUrR2NkYYXCKuxPHTMR,3PPCwAjj8GNphb3cRs7kP1QVghEUX6gWUH3M4JarQsTD,0.0,0.0,1999.8,11.6589817840287,0.03897508308306,171.52441242677537
54,BCAs1LjAePHtFy1EecfykzpV39vFomqezb2zi4fM9JNT,BnDMJk9ELepv9SipvLkmzLuEVisRoF3GjGF7ygtPNAYW,,,,,,
55,DDzvH5azCd6UJnXLzgsVUGPYBuYJPdhZxfbQfqzBwzCY,8yrao96AgTfpEw4f5zbgifaUfcQ6RZkZpjqEucnBVr7S,,,,,,
56,D2JcnMQNPy21UGPSKgX54tqaw4CxKV9EQpFj7AaZDZF6,3Tir2PQtohuh4shEj8rCJJ5ot31e3csV7rEtRiWSuiac,,,,,,
57,2TDYHycZ5WRLyE1MnbnrJo61hw1M6W3sRDLCdwSma7iq,C3aK4Sg8wArCwy9jBWcFCorLCnmD8Mbxgvt5KTVx9fC2,,,,,,
58,41tLyuvuJ5M7YctkSASD2R7RGGetD7FmKaZUdkTdgXgt,9LZ3rShLfzErXsGkh4dYfAm58GNPWhK6ohDy5RrLJhc,0.0,0.0,2.93,0.0182637631918,4.54673664157803,160.42695961561205
59,FhVHByujkvwwtjTVpZ4mqSUqoMoBgeLUc5H7rbz3FgAt,8kJu5aqVSmW8FSZR9h6F75ftn9V2U9uMLBEKeqRaC855,0.0,2.0,231.4,0.0511933343769,229.16828222316457,4520.119715124764
60,5MrgD3iRYjumpctsLqyZ4rbnibQEDoso96VRdRCTJBE6,H2sAMFRk6r4ApB3aCZmqSKpNqRSxYuH3kXU4hAKAX9BC,,,,,,
61,3iabzHWJoSYrtbmvEURbUgS6Mzgdb4EJZoYek5Lo9MuC,AfXv1AD3zABgmufvPKjmj2wNAMsBFtb9d1uDXz8esXGA,,,,,,
62,2TBnZQThLowvqLHD7q4m1213GaukREtCdcoKWMD9okFv,AK1gH7jPDGzKUkMj3kTiSfCZfDRgYMHis2SvNVoBVor1,,,,,,
63,6Y5GdgKErVfXrabSTi89X7xCEsZnoqDqwFD4hZ3FVtfN,4WSiQCTqMvpSYvrbenQGFoV6fuDALSWMwZZ9MgP82fwb,0.0,1.0,37.9,0.0006645664606,471.62592047296647,57029.66106020789
64,32itnZT6YdSxJta8hdqJrgN2Wzu6fTN9MxML2W1TSpS6,CgV1P5xKF3YFpLSeTAxCFnAfW4K4rMpqw44DZ2Fty8bp,,,,,,
65,HtVpojp5214CedccCN1jb8ptpFvPktoGgKhDY4zGkWKD,7c6XZtMmSVncQ5yR3C8pEG96d5iz8TU4c4v3jJ3nrRnn,0.0,0.0,255.34,-1.4486723289839,-5.00690859451464,176.257939695097
66,EKLNcsQsqd9EoPsEzybQpeigLDEUSwYdamsANr7j3rdH,8ZBEdStSeBd8m3RCVZ1JntvGE5KP2NJ1qnaVSFuGJDE4,,,,,,
