,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
6716,EcjCYJWTXn3LfpgJ9EbdVYQyR35QfWdBjsMdX8V9gBn6,5190.272,5570.0,412.062,-379.728,-0.068
6661,2ZQqMo1z3GbBexSTVDVFZAHZ34JUkrZQbDdPUGFhRyMA,14693.678,13410.14,409.969,1283.538,0.096
4377,5bx495nQKcVAjHHpTqYy4ijMQ61WE2LS7owU37WdTssF,0.006,450.74,408.921,-450.734,-1.0
5203,3yT2bPFDUEPbeAGEzPxLcuuxyYtnjotNqRHUwx71vdgJ,11154.013,2845.66,399.947,8308.353,2.92
3995,Am3Co44CwJjJzc1rQ4SQnvsr34zd48zHjHhvHiemJHau,0.006,402.72,391.635,-402.714,-1.0
6334,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,60799.13,59942.0,388.955,857.13,0.014
1067,GTWCTZoTt2t8dQ7M87pLZQvstD7tyvKczitJmCrsq48r,0.009,393.37,388.737,-393.361,-1.0
2930,8VuaLjtA3FzyTNJmc3w31YFfHzTKeqD9pb2tr7aeTWod,2463.094,1200.0,386.153,1263.094,1.053
2638,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,4619.947,4347.88,386.112,272.067,0.063
5460,BPW4T8BMputHYZSZ2bPH66DuoYXdxq3ewAaBWFVYPup4,0.004,-1280.44,384.802,1280.444,inf
1052,5vxtuZ4ZmkxYPRxh1dhZcxtbQj8mQJt4CVxnp8MbHePq,499.508,-15937.51,380.522,16437.018,inf
5459,979FTU6Kojd3Nk4yyZrBPBhi51EXsnxU8WQZ6u8w9h3g,0.0,2923.97,379.553,-2923.97,-1.0
3483,BSDeCyJsPs6y1pbDVHNq5rs6tdxcrbY3NDjXPBxwRjHz,0.004,11173.09,379.34,-11173.086,-1.0
1011,CdSCdVLjzcciAoiimkumrJGHAikyMuWs5eZNNFE5DjoT,9670.443,11260.79,376.307,-1590.347,-0.141
